Gene symbol,Gene name,Gene length,Gene localisation,
ZDHHC5,Palmitoyltransferase ZDHHC5,33435,"Chromosome 11: 57,667,747-57,701,182 FS",
ZNF699,Zinc finger protein 699,18698,"Chromosome 19: 9,291,140-9,309,838 RS",
ZFP64,Zinc finger protein 64,50152645,"Chromosome 20: 52,051,663-52,204,308 RS",
VAT1,Synaptic vesicle membrane protein VAT-1 homolog,10516,"Chromosome 17: 43,014,607-43,025,123 RS",
